trip_id,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,trip_start_timestamp,Trip_End_Timestamp,Trip_Seconds,Trip_Miles
595e1d888c60fb6a01af40e8dd3509f96c281305,41.899602111,-87.633308037,41.79259236,-87.76961545299999,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1260.0,0.8
fe00f7ff632834dee515a2babcbf14e5fc64343b,41.899602111,-87.633308037,41.899602111,-87.633308037,2019-06-16T08:00:00.000,2019-06-16 08:15:00,288.0,1.17
e251c1775c9ed55c7f6a3327dd28a9352bfeee9c,41.706587882,-87.623366512,41.842076117,-87.63397342200001,2019-06-16T08:00:00.000,2019-06-16 08:00:00,861.0,12.71
86df5f7936ecc035d995b0fca365a12df1dccaa1,41.880994471,-87.632746489,41.884987192,-87.620992913,2019-06-16T08:00:00.000,2019-06-16 08:15:00,336.0,1.25
335d78ab3bc411013619d7fda79c580259ade55e,41.94651142,-87.80602000200001,41.954027649000004,-87.76339903200001,2019-06-16T08:00:00.000,2019-06-16 08:15:00,729.0,4.45
b7c29925e86f51beca9f77a990ec5f6c5e11bec9,41.880994471,-87.632746489,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:15:00,1140.0,18.0
3cb449ad52a9a0e8915c3719812720aa51f851a9,41.97907082,-87.90303966100001,41.877406123,-87.62197165200001,2019-06-16T08:00:00.000,2019-06-16 08:15:00,1320.0,0.0
b74460059fbc313cde50669f23d645af30a1b9c1,41.986711799999995,-87.663416405,41.874005383000004,-87.66351755,2019-06-16T08:00:00.000,2019-06-16 08:15:00,960.0,0.5
c11c4dd07f304fb68ce1869e8ab6cdd6079dee1f,41.892507781,-87.626214906,41.879255084,-87.642648998,2019-06-16T08:00:00.000,2019-06-16 08:00:00,339.0,1.34
4e1eca86ae13380c817a2942b9f17b313f39c01f,41.884987192,-87.620992913,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1260.0,17.8
745d72ef3ad121376529014656a421c500c72011,41.899602111,-87.633308037,41.944226601,-87.655998182,2019-06-16T08:00:00.000,2019-06-16 08:15:00,593.0,3.38
73d3d17b051ccb9bbc29d547027d642c24bef2ab,41.892507781,-87.626214906,41.785998518,-87.750934289,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1307.0,14.44
465e7fe56c8df60c776ce8a377af1f45ce72e12e,41.890922026,-87.618868355,41.890922026,-87.618868355,2019-06-16T08:00:00.000,2019-06-16 08:00:00,180.0,0.8
9f8396377b193634848fd0fd3d84c95c7e091ab8,41.892507781,-87.626214906,41.785998518,-87.750934289,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1236.0,12.88
2a373a760616277064372ad2469c5cf2c03ed8ab,41.877406123,-87.62197165200001,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1500.0,17.6
b942257ca10ca092f4ff7c68115c0274caf5ab74,41.878865584,-87.625192142,41.899602111,-87.633308037,2019-06-16T08:00:00.000,2019-06-16 08:00:00,540.0,0.1
398f8267d987af5aaa87819bd58da6c23b41a780,41.892507781,-87.626214906,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1286.0,18.94
4ebf2df57c1d3427acffa4c67528c50cc8f26896,41.899155613000005,-87.626210532,41.884987192,-87.620992913,2019-06-16T08:00:00.000,2019-06-16 08:15:00,343.0,1.37
68ad3f94e6ce3852c50e29f48680fefed3d584e8,41.986711799999995,-87.663416405,41.953582125,-87.72345239,2019-06-16T08:00:00.000,2019-06-16 08:15:00,1298.0,6.1
68cfdf1129dc8daac27f05f337778d55ae2c7639,41.97907082,-87.90303966100001,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 09:30:00,5660.0,1.1
1625e3d4ef9de04f70683b7e9ee20c09750c5a0a,41.986711799999995,-87.663416405,41.975170943,-87.687515515,2019-06-16T08:00:00.000,2019-06-16 08:15:00,600.0,2.3
22db582bb16d61edaf452c4281d3e3bf4407a4dc,41.892507781,-87.626214906,41.859349715,-87.617358006,2019-06-16T08:00:00.000,2019-06-16 08:15:00,720.0,0.1
69438d9651563c9762f2e287a0318c3a3568a58a,41.944226601,-87.655998182,41.944226601,-87.655998182,2019-06-16T08:00:00.000,2019-06-16 08:15:00,171.0,0.75
54ad06cf06dd8cdcdf36d40213eb2cdcef40def3,41.892507781,-87.626214906,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:15:00,1140.0,17.6
ed08973201aacfa4ea41eea11bd7e7b4519077e7,41.870607371999995,-87.622172937,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:45:00,2580.0,18.1
6a317c555f0e0a50f01bb32ff905e137a8f50120,41.892507781,-87.626214906,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:15:00,1200.0,1.0
547125838f43d0f646f28fcc7c37f443934e9205,41.898331794,-87.620762865,41.785998518,-87.750934289,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1345.0,13.3
2b0e51667ccd81d73167029793f56928380edea5,41.892507781,-87.626214906,41.880994471,-87.632746489,2019-06-16T08:00:00.000,2019-06-16 08:00:00,281.0,1.07
ec814d817d45128488712abdb62f64b67723eb30,41.899602111,-87.633308037,41.899602111,-87.633308037,2019-06-16T08:00:00.000,2019-06-16 08:00:00,53.0,0.1
8a9e4a88b1c45a6d1f0618db57436fbcfb639c8c,41.899602111,-87.633308037,41.901206994,-87.676355989,2019-06-16T08:00:00.000,2019-06-16 08:15:00,706.0,3.05
8cd376dc0aa920cba9b6a40395943a607bdbf982,41.97907082,-87.90303966100001,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:15:00,156.0,0.35
aff9f19fc1f3133166288b12bbfac1bc2d284a0c,41.89503345,-87.61971067200001,41.884987192,-87.620992913,2019-06-16T08:00:00.000,2019-06-16 08:15:00,281.0,1.23
e46ee9c5934c8d1a79e592f9bee073d3d356018c,41.892507781,-87.626214906,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1680.0,20.5
66833b7b9c5ce2ba86721b477d3f16a9f4f00ba2,41.980264315,-87.913624596,41.980264315,-87.913624596,2019-06-16T08:00:00.000,2019-06-16 08:15:00,549.0,2.9
0f45b2e74a24622f34a3e0ffba20a2f1bb569823,41.89503345,-87.61971067200001,41.891971508000005,-87.612945414,2019-06-16T08:00:00.000,2019-06-16 08:00:00,540.0,1.5
0a96d4e8e9703471dcfd94dacf308706b810f3a5,41.944226601,-87.655998182,41.901206994,-87.676355989,2019-06-16T08:00:00.000,2019-06-16 08:15:00,780.0,0.3
7ab65744ce76db47bd63423f85041a7a78a7d3b1,41.898331794,-87.620762865,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1277.0,17.95
c8c12c4daa41c8e289a661e4208bf652f7dd2679,41.877406123,-87.62197165200001,41.859349715,-87.617358006,2019-06-16T08:00:00.000,2019-06-16 08:15:00,480.0,0.1
39566c117eb00aa0700ec1420fce1e6930d5d677,41.880994471,-87.632746489,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:15:00,1260.0,0.0
a0dc51d00de4c824f60aea70988d28addfd9cd2d,41.870607371999995,-87.622172937,41.97907082,-87.90303966100001,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1399.0,18.5
c73be0b63b67d5c6f0c43aaa5204f7ed35475a62,41.944226601,-87.655998182,41.980264315,-87.913624596,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1860.0,14.7
01e0825275ce408bf32dc0969c5bd63e619d5802,41.884987192,-87.620992913,41.880994471,-87.632746489,2019-06-16T08:00:00.000,2019-06-16 08:00:00,269.0,0.95
06705671dcee5b911761e35dba875157908812e5,41.884987192,-87.620992913,41.879255084,-87.642648998,2019-06-16T08:00:00.000,2019-06-16 08:00:00,322.0,1.3
d6841d1d5fbf0ac34eb288cd32c8f2628c664cdc,41.899155613000005,-87.626210532,41.880994471,-87.632746489,2019-06-16T08:00:00.000,2019-06-16 08:15:00,561.0,1.42
f614da68df2198dd37a3a8af00dcbfd66d6ed1f3,41.89503345,-87.61971067200001,41.89503345,-87.61971067200001,2019-06-16T08:00:00.000,2019-06-16 08:30:00,1946.0,9.06
6ac62a30cfdfabe70dcf96068804b6763943e5e5,41.922686284,-87.649488729,41.899602111,-87.633308037,2019-06-16T08:00:00.000,2019-06-16 08:15:00,249.0,2.19
