trip_id,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,trip_start_timestamp
70f3f41927bbf5de5189f720dbd86ba42233f452,41.899602111,-87.633308037,41.944226601,-87.655998182,2017-07-15T22:15:00.000
729f8d26c85fe254e8c1529906b8269407386c6b,41.874005383,-87.66351755,41.92276062,-87.699155343,2017-07-15T22:15:00.000
7c629b7b34451b52eee4e7b7b1275dfac87a09f1,41.794090253,-87.592310855,41.901206994,-87.676355989,2017-07-15T22:15:00.000
d1524065c31ea4175dbac216d1a0c3f8434cbe7c,41.899602111,-87.633308037,41.899602111,-87.633308037,2017-07-15T22:15:00.000
1eac063136967a07693db69f9faf96dccf34f4f3,41.905857769,-87.630865027,41.929077655,-87.646293476,2017-07-15T22:15:00.000
304db84245ba5e91a09edd3eea867f83932166d0,41.880994471,-87.632746489,41.884987192,-87.620992913,2017-07-15T22:15:00.000
3238e60a5e9f405621570f4b0414d687c7e3aed1,41.90749193,-87.63576009,41.89830587,-87.653613982,2017-07-15T22:15:00.000
009e4c1c187a6888f4a12c45abbd8d3f50d6fa01,41.874005383,-87.66351755,41.947791586,-87.683834942,2017-07-15T22:15:00.000
00ab1bff0db12d047054bf5cb7f439bfc3d9bcdc,41.877406123,-87.621971652,41.899155613,-87.626210532,2017-07-15T22:15:00.000
016951315306dfcbcc4b6ef1c9968f23417bae11,41.892507781,-87.626214906,41.884987192,-87.620992913,2017-07-15T22:15:00.000
0438a928bb5e4f02d7b06ceba717fbe5f60347f1,41.891971508,-87.612945414,41.892658108,-87.652534484,2017-07-15T22:15:00.000
04466a2b22c19766697aa32775df3d19bd60131b,41.944226601,-87.655998182,41.975170943,-87.687515515,2017-07-15T22:15:00.000
05e9989d78514ef22506eac74d33eb3a68d7cdfb,41.891971508,-87.612945414,41.898331794,-87.620762865,2017-07-15T22:15:00.000
0641de4170eebe2fd94aac995926cff4ec363740,41.874005383,-87.66351755,41.878865584,-87.625192142,2017-07-15T22:15:00.000
06839719a7855ec1f8dfd211331bbf9d0c222f7e,41.9867118,-87.663416405,41.96581197,-87.655878786,2017-07-15T22:15:00.000
0720a7152e479749a5353f65386bea5d1e3445d6,41.901206994,-87.676355989,41.901206994,-87.676355989,2017-07-15T22:15:00.000
08908a1c878283268ba4adb9caf2c1d06e26b239,41.891971508,-87.612945414,41.899155613,-87.626210532,2017-07-15T22:15:00.000
0972800bd1a0576e67cde26dd471b2e4d39fa8f3,41.899155613,-87.626210532,41.899155613,-87.626210532,2017-07-15T22:15:00.000
0d9e43b5a70018df2db02871164d41b4677a2398,41.944226601,-87.655998182,41.944226601,-87.655998182,2017-07-15T22:15:00.000
0e0d1f497225bbc39da68af17934a13663ed1f33,41.88528132,-87.6572332,41.908378669,-87.670945075,2017-07-15T22:15:00.000
0eadd8b98ed68608d42ccffc1379ec651aa2d46b,41.88528132,-87.6572332,41.921701492,-87.655911848,2017-07-15T22:15:00.000
0ee089071442c43a2a44e166392e55c17781c9eb,41.96581197,-87.655878786,41.944226601,-87.655998182,2017-07-15T22:15:00.000
0f248ba383f15353412f8c342d0f26dc780ce8e6,41.880994471,-87.632746489,41.938391258,-87.63857492,2017-07-15T22:15:00.000
0f2942c168a92b466e1324c6156dfb5f40c91f8c,41.946294536,-87.654298084,41.921854911,-87.646210977,2017-07-15T22:15:00.000
0fd06f93a84be00131bc53bf6965780a60ca17b1,41.97907082,-87.903039661,41.884987192,-87.620992913,2017-07-15T22:15:00.000
0fdb6e17999225c17cb55a3f91edacdd41a7c0d4,41.97907082,-87.903039661,41.885300022,-87.642808466,2017-07-15T22:15:00.000
10dc796b64fe000eefd3c446a1a6139aa53c0395,41.878865584,-87.625192142,41.794090253,-87.592310855,2017-07-15T22:15:00.000
37b96be1dd3af905e8c2e372017a015960e9cef1,41.922686284,-87.649488729,41.944226601,-87.655998182,2017-07-15T22:15:00.000
11566d1f70d702c5ad65e0db828742cd51ec81d7,41.980264315,-87.913624596,41.9867118,-87.663416405,2017-07-15T22:15:00.000
115f3cdbf2fad87f4972257ce2171f0195084bed,41.880994471,-87.632746489,41.890922026,-87.618868355,2017-07-15T22:15:00.000
119bd4a9abe00c7b0980580052215d9f7e36451a,41.892507781,-87.626214906,41.89830587,-87.653613982,2017-07-15T22:15:00.000
39af1efc38b41861e01a0e2ee825da98cbdba868,41.899155613,-87.626210532,41.899155613,-87.626210532,2017-07-15T22:15:00.000
129f02e70a99e4387c2102e0fc87014b733a73a5,41.88528132,-87.6572332,41.921877461,-87.66407824,2017-07-15T22:15:00.000
12b397b4992a517e984161833bebedf63eb55f7f,41.892507781,-87.626214906,41.891971508,-87.612945414,2017-07-15T22:15:00.000
13388a97dc29bd4bb7b0b1cbea38dfd61f3f5ba6,41.880994471,-87.632746489,41.879255084,-87.642648998,2017-07-15T22:15:00.000
3b47cf065480844951e281a48fb91b3a8ca59698,41.901206994,-87.676355989,41.922686284,-87.649488729,2017-07-15T22:15:00.000
13b10ade44385e2bf84fa35b18b3ace42a51a822,41.88528132,-87.6572332,41.908378669,-87.670945075,2017-07-15T22:15:00.000
13e9a681a08f13e34c26ba74d939f9ec130d9465,41.892507781,-87.626214906,41.880994471,-87.632746489,2017-07-15T22:15:00.000
13fb13887a1d584e5cdc36dacc1d6daf598e581f,41.891971508,-87.612945414,41.890922026,-87.618868355,2017-07-15T22:15:00.000
14a1bc3be99911ff30144f76ae47b1ac426a0ded,41.922686284,-87.649488729,41.944226601,-87.655998182,2017-07-15T22:15:00.000
155f790bb077233b6d42c52d28f6594f267810af,41.874005383,-87.66351755,41.836150155,-87.648787952,2017-07-15T22:15:00.000
157c21d83ed4df5ea06be3ade7694b44a5cb6b8e,41.874005383,-87.66351755,41.901206994,-87.676355989,2017-07-15T22:15:00.000
15befc59c777c7e1751deb14be705d03ac20db8b,41.892507781,-87.626214906,41.900265687,-87.63210922,2017-07-15T22:15:00.000
16575f5f1be406228ca8d2ea763e7a5897021000,41.901206994,-87.676355989,41.975170943,-87.687515515,2017-07-15T22:15:00.000
1682999d5a0d57b2dc08d2d83f67ceb2de2df2be,41.901206994,-87.676355989,41.901206994,-87.676355989,2017-07-15T22:15:00.000
17050453108fad78998d45b4ebe994930c8ab302,41.96581197,-87.655878786,41.96581197,-87.655878786,2017-07-15T22:15:00.000
170afa25d84adc04ae771458e5114f48233a12a3,41.944226601,-87.655998182,41.944226601,-87.655998182,2017-07-15T22:15:00.000
17a92f1267d2ba7ec344ccc38172331be1c2d6a1,41.900221297,-87.629105186,41.89830587,-87.653613982,2017-07-15T22:15:00.000
17c1f24b87986fe93b580055676af426732fc2cc,41.945282331,-87.661545096,41.898331794,-87.620762865,2017-07-15T22:15:00.000
18080340a3b180b5018152885b3ab24fef9dcd16,41.88528132,-87.6572332,41.879255084,-87.642648998,2017-07-15T22:15:00.000
18d04b224dc1dc10e245ca9c0a14fbcb6c711aab,41.936310131,-87.651562592,41.899155613,-87.626210532,2017-07-15T22:15:00.000
19e0cfa60a32e658eb673d0771cb1acaf7933c81,41.89830587,-87.653613982,41.89321636,-87.63784421,2017-07-15T22:15:00.000
19fd3575542ed11b19bf2b914513bfa2ce7e7a40,41.884987192,-87.620992913,41.884987192,-87.620992913,2017-07-15T22:15:00.000
1b3e09da220bb15882435932020ddfbdbbca48bb,41.880994471,-87.632746489,41.859349715,-87.617358006,2017-07-15T22:15:00.000
1bbfd22f9b9eefd250601f2b622af342d8b42ed4,41.944226601,-87.655998182,41.944226601,-87.655998182,2017-07-15T22:15:00.000
1c0602d5eca8b3031747e75a4ab3e420f2823d5b,41.89830587,-87.653613982,41.904935302,-87.649907226,2017-07-15T22:15:00.000
1cda4046de8652f136c7ac5ab90b82724020d84e,41.874005383,-87.66351755,41.92276062,-87.699155343,2017-07-15T22:15:00.000
1d17d1596863f5472b7dcdf55a7b0902dbd2c71e,41.946294536,-87.654298084,41.921778356,-87.641459759,2017-07-15T22:15:00.000
1d1a2f6057dd4df9a21d2786e8f52027fcfb184b,41.884987192,-87.620992913,41.879255084,-87.642648998,2017-07-15T22:15:00.000
1e59e6a61a681c32c5619e7bb5228aef85a31bff,41.878865584,-87.625192142,41.794090253,-87.592310855,2017-07-15T22:15:00.000
1e912a1bb5c81cd6c9eaa792c31b77a72278772c,41.892042136,-87.63186395,41.867902418,-87.642958665,2017-07-15T22:15:00.000
1f7101661600123ea89d4d66674461de6ff7ce76,41.88528132,-87.6572332,41.898331794,-87.620762865,2017-07-15T22:15:00.000
1f7f01c83606fc2c5cb8e90c6922cef280dc5f89,41.944226601,-87.655998182,41.944226601,-87.655998182,2017-07-15T22:15:00.000
1fb73b1c2ccc90f33bb762fd37683ceeaa114671,41.870607372,-87.622172937,41.884987192,-87.620992913,2017-07-15T22:15:00.000
201e55aab07594048f4b7cc329566b6e491de6a5,41.97907082,-87.903039661,41.880994471,-87.632746489,2017-07-15T22:15:00.000
210e31c5408730798bfaa8f797e6baf20262c469,41.884987192,-87.620992913,41.877406123,-87.621971652,2017-07-15T22:15:00.000
22b2922e165d175957e75eeac61549e5906d1bff,41.899155613,-87.626210532,41.870607372,-87.622172937,2017-07-15T22:15:00.000
23700bd08e0cb74c315759f844e8e068eb397293,41.88528132,-87.6572332,41.879255084,-87.642648998,2017-07-15T22:15:00.000
23c1f1e83fda1bef0fb1dc2382c7df78e3e59f7f,41.88528132,-87.6572332,41.884987192,-87.620992913,2017-07-15T22:15:00.000
2406649c5c3e13837147ddfd500083060331b6ca,41.89321636,-87.63784421,41.892042136,-87.63186395,2017-07-15T22:15:00.000
244285019c12495aed022bbeaf5fadf765db4610,41.89830587,-87.653613982,41.892042136,-87.63186395,2017-07-15T22:15:00.000
249a5af4313dc3fe722a3ceadebc352d98144795,41.880994471,-87.632746489,41.892042136,-87.63186395,2017-07-15T22:15:00.000
24e004067b017148bbbf9f3e8faaab2f801494d5,41.944226601,-87.655998182,41.944226601,-87.655998182,2017-07-15T22:15:00.000
250ecdb9f1105e9c0953e22d2039638db9a026aa,41.877406123,-87.621971652,41.892507781,-87.626214906,2017-07-15T22:15:00.000
2517bbb464cf8853bf42917b791168f909b66ae0,41.859349715,-87.617358006,41.859349715,-87.617358006,2017-07-15T22:15:00.000
